,City,Country,Lat,Lng,Hotel Name,Hotel Names
364,pahrump,US,36.21,-115.98,,Holiday Inn Express & Suites Pahrump
365,opuwo,,-18.06,13.84,,Opuwo Country Lodge
366,sakaiminato,JP,35.55,133.23,,Sakaiminato Yunagi no Yu Onyado Nono
367,shaowu,CN,27.34,117.48,,Ramada Plaza Shaowu
368,beringovskiy,RU,63.05,179.32,,Beringgorski
369,cabedelo,BR,-6.98,-34.83,,Hotel Almagre
370,narsaq,GL,60.92,-46.05,,Igdlo Guesthouse
371,itaguai,BR,-22.85,-43.78,,Hotel Promenade Fusion Itaguaí
372,otradnoye,RU,59.78,30.82,,Baza otdikha Petrushinsky Khutor
373,darhan,MN,49.49,105.92,,Buudai Hotel
374,aykhal,RU,66.0,111.5,,
375,palestine,PS,31.92,35.2,,Millennium Palestine Ramallah
376,benjamin constant,BR,-4.38,-70.03,,
377,semirom,IR,31.42,51.57,,سوییت نادری
378,ruy barbosa,BR,-12.28,-40.49,,Flats em Ruy Barbosa - BA
379,alofi,NU,-19.06,-169.92,,Taloa Heights
380,abony,HU,47.19,20.0,,
381,sonari,IN,27.07,95.03,,OYO 70164 Hotel Green View
382,kantabanji,IN,20.48,82.92,,Hotel Hanuman
383,ariyalur,IN,11.13,79.08,,BERGAMONT HOTEL
384,abapo,BO,-18.83,-63.47,,
385,kamenka,RU,51.32,42.77,,
386,makakilo city,US,21.35,-158.09,,Hampton Inn & Suites Oahu/Kapolei
387,salinopolis,BR,-0.61,-47.36,,Hotel Concha do Mar
388,erzin,TR,36.96,36.2,,Hattusa Vacation Thermal Club Erzin
389,ponca city,US,36.71,-97.09,,La Quinta Inn & Suites by Wyndham Ponca City
390,araouane,ML,18.9,-3.53,,
391,matara,LK,5.95,80.54,,ParrotFish Bay
392,cuamba,MZ,-14.8,36.54,,Daania Residence
393,sisimiut,GL,66.94,-53.67,,Sømandshjemmet
394,taoudenni,ML,22.68,-3.98,,
395,zhuji,CN,29.72,120.24,,YaoJiang New Century Grand Hotel Zhuji
396,langxiang,CN,46.95,128.88,,
397,bohuslav,UA,49.55,30.87,,"hotel ""Boguslavl"""
398,kondoa,TZ,-4.9,35.78,,New Geneva In Africa Hotel
399,verkhnetulomskiy,RU,68.61,31.8,,Guest House V Verhnetulomskom
400,lorengau,PG,-2.02,147.27,,Seeadler Bay Hotel
401,rocha,UY,-34.48,-54.33,,Beleza Pura B&B
402,erenhot,CN,43.65,111.98,,Moli International Hotel
403,kalat,PK,29.02,66.59,,Sarwary Hotel
404,gamba,GA,-2.65,10.0,,
405,tonantins,BR,-2.87,-67.8,,Hotel Rei Davi
406,ekibastuz,KZ,51.67,75.37,,Amiliya
407,ahipara,NZ,-35.17,173.17,,Endless Summer Lodge - BBH
408,vanimo,PG,-2.67,141.3,,Sandaun Surf Hotel
409,ajdabiya,LY,30.76,20.23,,Almadina Hotel
410,danane,CI,7.26,-8.15,,Hotel Paloma
